TITLE,ARTIST,RELEASE,BPM,ENERGY,DANCE,LOUD,VALENCE,LENGTH,ACOUSTIC,POP.
Dreams,Joakim Karud,2016-04-15,96,61,75,-7,42,190,12,58
Drop of Honey,Eric Kufs,2013-06-21,180,66,60,-7,57,258,45,40
Drugs & The Internet,Lauv,2019-04-26,89,58,45,-7,22,179,32,33
Easily,Bruno Major,2017-08-31,119,26,77,-9,36,210,49,75
Efecto Visual,Cineplexx,2014-04-07,120,45,57,-9,45,158,44,17
Even If It's a Lie - Demo,Matt Maltese,2015-04-27,83,29,48,-6,13,238,95,56
Everyday,Vetiver,2009-02-17,138,31,61,-9,63,228,50,24
Fade Into You,Mazzy Star,1993-01-01,157,33,42,-14,18,296,25,71
Fading,Vallis Alps,2016-11-17,98,48,66,-10,29,280,52,52
fake smile,Ariana Grande,2019-02-08,83,62,45,-7,43,209,33,71
False God,Taylor Swift,2019-08-23,80,32,74,-11,35,200,74,69
Feeling Whitney,Post Malone,2016-12-09,80,23,41,-13,23,257,79,76
Fine On The Outside,Yoshihiro Koseki,2016-08-31,107,12,51,-16,34,188,100,40
Finesse - Remix; feat. Cardi B,Bruno Mars,2017-12-20,105,86,70,-5,93,217,2,75
First Burn,Ari Afsar,2018-04-30,99,47,68,-7,35,183,34,60
Flowing,Borrtex,2019-12-15,150,7,42,-33,24,112,99,16
Flying Kites,Jeremy Zucker,2015-10-30,144,46,73,-5,67,162,93,49
Fooled Around And Fell In Love,Elvin Bishop,1998-01-01,113,80,63,-6,56,274,4,59
Foreplay,Jalen Santoy,2016-07-07,118,42,73,-6,51,174,12,66
Forget to Forget,SHY Martin,2018-05-25,111,60,92,-9,81,155,7,59
FourFiveSeconds,Rihanna,2015-01-24,206,27,58,-6,35,188,88,79
From Red to Blue,Billy Bragg,1996,90,31,60,-10,36,201,70,0
From the Ground up (Instrumental),Sleeping At Last,2015-06-23,148,16,53,-14,25,162,97,39
Georgia,Vance Joy,2014-09-09,144,66,39,-7,40,231,31,69
ghostin,Ariana Grande,2019-02-08,104,36,29,-8,11,271,42,71
Gimmie Love,Carly Rae Jepsen,2015-08-21,110,80,69,-5,51,202,11,32
Girl on a Train,Skizzy Mars,2016-04-08,94,68,71,-6,62,183,22,60
Glamorous,Fergie,2006-01-01,131,76,81,-6,62,247,29,66
Glycolysis!,Glenn Wolkenfeld,2012-11-10,93,27,92,-15,62,241,52,13
goldenboy,Kaptan,2019-06-14,80,46,77,-7,71,222,50,42
Good Things Fall Apart (with Jon Bellion),ILLENIUM,2019-05-13,144,59,64,-5,44,217,1,71
Goodie Bag,Still Woozy,2017-11-05,138,52,74,-12,62,146,82,76
goodnight n go,Ariana Grande,2018-08-17,111,45,71,-7,24,190,2,71
Grow Into Love,Half Moon Run,2020-05-06,96,53,64,-9,37,162,27,50
Habit,Still Woozy,2019-12-12,125,39,77,-12,48,154,15,73
Hallucinations,dvsn,2016-03-27,96,40,77,-9,35,246,7,61
Hands To Myself,Selena Gomez,2015-10-09,111,50,81,-7,47,201,1,65
Happy & Sad,Kacey Musgraves,2018-03-30,90,66,64,-5,66,243,25,63
Havana (feat. Young Thug),Camila Cabello,2018-01-12,105,52,77,-4,39,217,18,82
Heart Is Full - Recorded At Spotify Studios NYC,Jon Bellion,2019-04-17,88,35,60,-9,53,218,69,49
Helpless,Phillipa Soo,2015-09-25,79,49,69,-7,74,250,34,66
Her Joy Was Complete,Sleeping At Last,2015-06-23,157,9,15,-20,11,182,98,54
High Horse,Kacey Musgraves,2018-03-30,120,67,73,-5,77,214,3,69
High Tops,Del Water Gap,2017-01-27,128,46,56,-5,26,238,5,56
Hold,Saint Claire,2016-02-19,81,58,35,-7,22,222,47,34
Honeybee,The Head and the Heart,2019-05-17,136,52,64,-8,49,196,12,71
Hotter Than Hell,Dua Lipa,2016-05-06,110,87,53,-4,53,188,1,56
How High,Michael Blume,2016-06-28,108,33,65,-9,19,364,71,22
How to Dream,Sam Phillips,2001-07-31,118,35,68,-13,58,188,60,41
How To Love,Lil Wayne,2011-01-01,154,66,64,-6,27,240,0,66
"I Am You, You Are Me",ZICO,2016-01-25,97,62,77,-7,70,213,32,32
I Can't Help,Sarcastic Sounds,2018-01-12,164,32,65,-12,32,78,44,62
I Don't Want to Be,Gavin DeGraw,2004-07-26,155,86,42,-5,46,218,1,60
I Forgot That You Existed,Taylor Swift,2019-08-23,93,32,66,-10,54,171,30,77
I Like Me Better,Lauv,2017-05-19,92,51,75,-8,42,197,54,52
i loved you first,joan,2018-03-21,75,28,56,-10,22,227,9,60
I Said,Litany,2017-06-07,120,54,79,-8,70,218,25,47
I Say a Little Prayer,Aretha Franklin,1968-06-14,133,36,59,-14,50,217,48,74
I Think He Knows,Taylor Swift,2019-08-23,100,37,90,-8,42,173,1,71
I Try,Macy Gray,1999-07-03,76,64,59,-7,74,239,31,72
I Try (Living Room Session),Busty and the Bass,2016-07-01,154,42,51,-7,50,260,21,40
I Want to Love You,Lenachka,2014-09-23,114,54,70,-9,21,274,10,36
I Want You To Want Me - Soundtrack,Letters To Cleo,1999,209,84,27,-3,66,206,2,0
I.F.L.Y.,Bazzi,2019-07-18,105,52,81,-5,55,166,38,7
I'll Keep You Safe,sagun,2017-10-06,115,6,76,-25,46,186,95,72
I'll Stay (Carla's Song),Matt Stinton,2016-12-16,144,22,54,-14,40,243,90,38
I'm So,Andrew Applepie,2016-04-29,95,77,67,-7,74,168,18,46
I'm the One,DJ Khaled,2017-04-27,81,67,60,-4,82,289,5,6
I’ll Still Have Me,Cyn,2019-09-20,83,28,60,-8,22,219,92,56
idontwannabeyouanymore,Billie Eilish,2017-12-22,170,41,48,-8,25,204,74,82
idontwannabeyouanymore,Billie Eilish,2017-08-11,170,42,51,-8,26,204,73,0
If I Can't Have You,Shawn Mendes,2019-05-03,124,81,69,-4,86,191,52,82
"If You Love Me, Come Clean",Flatsound,2012-05-07,134,12,51,-15,8,220,80,50
Ignition - Remix,R. Kelly,2003,133,52,80,-7,86,186,6,70
imagine,Ariana Grande,2019-02-08,63,48,73,-5,37,212,38,74
In a Crowd of Thousands,Derek Klena,2017-06-09,76,20,37,-13,17,226,89,54
in my head,Ariana Grande,2019-02-08,135,60,66,-6,33,223,17,72
in your arms,Saib,2018-03-08,143,28,74,-17,76,278,70,0
instagram,DEAN,2017-12-26,94,57,46,-6,22,256,20,69
Issues,Julia Michaels,2017-07-28,114,42,73,-7,46,176,40,71
It's a Wonderful Life,S E S H,2017-12-12,100,28,76,-20,8,168,77,36
It's All in Vain,Wet,2016-01-29,120,39,70,-10,30,214,60,53
It's Strange (feat. K.Flay),Louis The Child,2015-10-22,86,49,84,-8,42,246,37,50
Ivory Black,Oliver Riot,2015-11-04,139,26,41,-13,10,268,89,56
Jealous,Labrinth,2014-11-21,129,16,44,-9,9,288,87,79
Jessie's Girl,Rick Springfield,1999-03-20,132,71,69,-8,84,193,8,65
Juice,Lizzo,2019-04-19,120,89,77,-3,84,195,1,79
July,Noah Cyrus,2019-07-31,73,19,71,-9,32,156,87,80
Jump (with Trippie Redd),Julia Michaels,2018-05-04,174,55,65,-7,51,208,25,63
June Blues,Eric Reprid,2018-06-27,98,55,94,-6,70,188,33,50
Just Friends,Virginia To Vegas,2019-05-24,100,71,79,-8,79,169,16,68
La Di Da,Lennon Stella,2018-11-17,150,68,69,-6,48,210,20,75
Laendler,Irwin Kostal,1964,135,7,50,-16,63,146,72,33
Last One,The Aces,2018-04-06,100,83,63,-4,75,227,3,44
Lately,Wet,2018-05-11,148,57,66,-9,41,232,47,36
Lemonade - Ukulele Version,Jeremy Passion,2011-12-13,128,22,55,-9,59,182,87,66
Let Loose,Mt. Joy,2020-05-21,147,64,52,-7,63,222,49,46
Let My Baby Stay,Mac DeMarco,2014-04-01,90,28,79,-15,63,248,78,54
Like To Be You (feat. Julia Michaels),Shawn Mendes,2018-05-25,154,45,74,-9,66,159,81,65
Like To Be You feat. Julia Michaels,Shawn Mendes,2018-05-25,154,45,74,-9,66,159,81,3
Little Brother,Ella Vos,2016-11-07,145,40,77,-10,28,215,4,0
Loca (feat. Dizzee Rascal),Shakira,2010-10-19,112,87,80,-4,85,193,19,57
Lookalike,Conan Gray,2018-11-16,122,30,43,-10,17,221,77,71
Loosing Interest,Timmies,2017-09-21,114,20,93,-14,76,118,51,68
Lost In Japan - Acoustic,Amber Leigh Irish,2018-08-24,135,14,54,-13,41,183,91,28
Love Is Alive,Louis The Child,2017-01-27,98,50,68,-7,92,171,70,47
Love$ick (feat. A$AP Rocky),Mura Masa,2017-07-14,89,76,63,-5,72,192,15,74
Lover,Taylor Swift,2019-08-23,69,54,36,-8,45,221,49,81
Lovin',Sam Ock,2016-08-19,131,43,92,-7,77,283,49,0
lowkey,NIKI,2019-05-17,118,49,75,-8,23,171,43,47
Make Out to This,Jayvidd,2018-09-09,152,31,75,-9,57,160,91,34
make up,Ariana Grande,2019-02-08,105,71,67,-5,48,141,8,68
Man! I Feel Like A Woman!,Shania Twain,1997,125,90,68,-3,76,233,64,7
Maniac,Conan Gray,2020-03-20,108,64,63,-5,49,186,0,83
Mariposa,Peach Tree Rascals,2019-08-28,112,53,68,-6,42,210,62,77
Maybe,half•alive,2019-08-09,100,67,77,-6,59,193,1,54
me & ur ghost,blackbear,2020-01-16,100,63,76,-6,88,200,6,79
ME! (feat. Brendon Urie of Panic! At The Disco),Taylor Swift,2019-08-23,182,83,61,-4,73,193,3,83
Meant to Be,John Bolton,2017-06-09,149,17,29,-10,21,101,69,41
Mess,Noah Kahan,2019-06-14,81,83,44,-5,60,213,18,67
Mess Is Mine,Vance Joy,2014-09-09,108,72,60,-8,27,224,5,67
Messy,Kiiara,2018-05-11,108,46,89,-6,68,169,22,53
Mia & Sebastian’s Theme,Justin Hurwitz,2016-12-09,117,19,48,-16,11,98,98,62
Midsummer Madness,88rising,2018-07-20,90,68,41,-8,17,281,36,75
Mine,Bazzi,2017-10-12,143,81,72,-4,72,134,1,5
Miracle,Cannons,2017-05-12,176,59,53,-7,64,267,9,39
Miss Americana & The Heartbreak Prince,Taylor Swift,2019-08-23,150,75,66,-7,49,234,3,71
Mona Lisa,Grant-Lee Phillips,2004-01-01,142,56,45,-11,37,252,1,36
Monday,Jeff Kaale,2018-06-20,80,50,78,-10,55,120,10,37
Moonlight,Ariana Grande,2016-05-20,102,41,63,-7,21,202,42,68
Mornings (See You Again),Alextbh,2017-07-13,83,31,74,-8,37,260,59,0
my boy,Billie Eilish,2017-08-11,90,39,59,-9,34,171,54,0
My Dude,Litany,2019-05-30,124,51,75,-7,82,227,45,58
My Love,Miette Hope,2017-08-05,130,40,68,-9,51,260,76,32
My Prayer,The Platters,2008-01-01,109,21,41,-11,26,166,86,17
My Vibe,Mt. Joy,2020-05-21,94,70,67,-6,58,157,49,48
Mysterious Girl - Radio Edit,Peter Andre,2004-06-07,172,82,66,-6,86,217,14,63
Naked,Ella Mai,2017-11-03,125,45,44,-7,51,197,78,0
NASA,Ariana Grande,2019-02-08,75,46,75,-7,47,182,45,74
Natural Disaster,Half Moon Run,2019-11-01,131,68,63,-7,39,223,6,37
needy,Ariana Grande,2019-02-08,87,31,65,-8,20,172,78,74
Never Wanna Leave,Glenn Travis,2016-05-25,76,58,42,-7,62,195,17,39
New Soul,Yael Naim,2007-10-22,200,37,58,-9,60,225,75,1
Nice For What,Drake,2018-06-29,93,91,70,-6,76,211,9,3
No Goodbyes,LÉON,2017-10-06,148,52,50,-7,18,196,26,56
No Scrubs,TLC,1999-02-23,93,68,74,-4,59,214,3,79
Normal,Sasha Sloan,2018-04-18,120,42,75,-9,28,192,53,58
Number One,Tove Styrke,2015-06-05,110,89,65,-4,34,205,1,46
Ocean Eyes - Blackbear Remix,Billie Eilish,2017-01-13,145,42,66,-10,14,195,11,71
Oceans - Acoustic Version from Osea Island,Seafret,2015-01-21,137,28,49,-9,12,208,90,45
Oh! Darling - Remastered 2009,The Beatles,1969-09-26,174,66,42,-8,55,207,1,67
Olopte's lullaby,Gabriela Parra,2016-03-11,76,5,37,-22,26,167,100,0
On My Own,Samantha Barks,2013-01-01,72,12,34,-16,21,191,88,51
One Last Dance,Us The Duo,2016-12-09,139,16,47,-14,17,225,98,48
Only,RY X,2016-05-06,109,17,43,-16,9,268,90,57
Oogway Ascends,Hans Zimmer,2008-01-01,80,27,14,-18,6,124,67,0
Our House by the Waterfall,Rook1e,2017-09-07,116,47,76,-9,58,91,90,43
Out of Focus,Chelsea Cutler,2018-02-16,166,41,53,-10,27,190,15,50
Palace,Hayley Kiyoko,2016-09-30,75,80,58,-4,24,241,1,46
Paper Rings,Taylor Swift,2019-08-23,104,72,81,-7,87,222,1,72
party favor,Billie Eilish,2017-08-11,130,20,81,-12,20,205,88,0
Patience,The Lumineers,2016-02-05,138,24,48,-17,12,96,97,8
Patient,Charlie Puth,2018-05-11,168,60,68,-6,46,191,75,64
Plans,Oh Wonder,2015-09-04,77,30,46,-13,14,236,83,50
Plans (feat. Vory),88rising,2018-07-20,101,54,92,-8,75,138,14,55
Pocketful of Sunshine,Natasha Bedingfield,2008-01-22,110,88,72,-4,66,203,19,63
Primadonna,MARINA,2012-04-30,128,69,66,-3,43,221,9,63
Promiscuous,Nelly Furtado,2010-01-01,114,97,81,-6,88,242,5,59
Psycho,Delaney Jane,2018-12-14,100,63,65,-7,20,266,48,35
Pussy Is God,King Princess,2018-11-02,86,62,74,-7,46,206,5,64
quit,LANY,2016-06-24,98,63,75,-6,54,200,4,53
Quite Like You,Taylor John Williams,2016-07-05,121,54,85,-9,56,251,70,26
Real Friends,Camila Cabello,2017-12-06,92,30,74,-9,82,214,84,61
Recuérdame (Arrullo),Gael Garcia Bernal,2017-11-10,86,13,54,-19,8,70,92,46
Redbone,Childish Gambino,2016-12-02,160,36,75,-10,61,327,17,7
Runaway,Sasha Sloan,2018-04-18,140,41,68,-8,21,217,73,53
Runaways,Sam Feldt,2016-10-07,120,56,76,-6,68,180,17,1
Sabor a Mi,Luis Miguel,1997-08-12,90,58,66,-7,48,185,65,55
