TITLE,ARTIST,RELEASE,BPM,ENERGY,DANCE,LOUD,VALENCE,LENGTH,ACOUSTIC,POP.
Weekend,Louis The Child,2016-07-01,85,77,68,-6,45,175,26,60
What I Need (feat. Kehlani),Hayley Kiyoko,2018-03-30,104,79,63,-4,41,220,5,64
What If I Go?,Mura Masa,2017-07-14,200,53,56,-8,91,195,19,47
What's Up?,4 Non Blondes,1992-01-01,134,56,56,-10,45,296,16,78
when the party's over,Billie Eilish,2018-10-17,124,10,50,-14,21,200,98,13
Where The Skies Are Blue,The Lumineers,2016-02-05,132,48,57,-7,55,140,86,9
Where You Lead I Will Follow,Carole King,2007,107,74,73,-7,70,208,36,45
Where's My Love - Piano Solo,SYML,2017-07-07,180,5,54,-17,14,274,99,47
Wild Ones,Bahari,2014-12-30,97,29,69,-10,23,184,79,44
Win You Over (feat. Soak),Whethan,2019-03-29,118,75,81,-6,66,209,0,25
wish you were gay,Billie Eilish,2019-03-29,118,35,85,-10,28,222,39,82
Work from Home (feat. Ty Dolla $ign),Fifth Harmony,2016-05-27,105,59,80,-6,59,214,10,78
You & Me,Marc E. Bassy,2016-08-05,85,64,68,-8,62,218,4,57
You Are Your Mother's Child,Conor Oberst,2014-05-16,116,17,61,-13,46,229,88,39
You Got It,Roy Orbison,1989,115,62,65,-11,67,210,60,68
You Need To Calm Down,Taylor Swift,2019-08-23,85,67,77,-6,71,171,1,83
You're the Best,Wet,2016-01-29,100,33,44,-11,19,178,14,52
Your Love,HAERTS,2018-05-18,168,72,59,-7,44,225,12,43
Your Shirt,Chelsea Cutler,2017-02-24,180,48,43,-7,17,233,19,37
Yummy,Justin Bieber,2020-01-03,146,51,69,-7,49,210,37,85
그렇더라고요 When you love someone,DAY6,2017-12-06,140,50,60,-4,60,226,19,58
비행운 Contrail,MoonMoon,2016-11-10,102,40,84,-6,74,179,83,51
解脫,A-Mei Chang,1999-12-01,168,43,51,-9,64,283,73,34
